,dir,analysis_id,file_name,size,analysis_data_uri,cellid
26,1,e06d66ca-cd61-4c69-97e2-3da1aaabc57d,G26197.NCI-H23.2.bam,17237898910,https://cghub.ucsc.edu/cghub/data/analysis/download/e06d66ca-cd61-4c69-97e2-3da1aaabc57d,NCI-H23
27,1,095495fa-5647-4dbe-82a3-f639f19689f9,G30619.UACC-62.1.bam,13678651664,https://cghub.ucsc.edu/cghub/data/analysis/download/095495fa-5647-4dbe-82a3-f639f19689f9,UACC-62
28,1,15903736-28e7-4842-9477-584736a7473d,G27215.UACC-257.1.bam,11521444196,https://cghub.ucsc.edu/cghub/data/analysis/download/15903736-28e7-4842-9477-584736a7473d,UACC-257
29,1,094f1c97-45dd-405c-99ff-1e44ce52cbb9,G28849.HOP-62.3.bam,12334168297,https://cghub.ucsc.edu/cghub/data/analysis/download/094f1c97-45dd-405c-99ff-1e44ce52cbb9,HOP-62
30,2,10f07e04-30a5-4741-820b-802a95851df2,G27505.RH-30.2.bam,18278867248,https://cghub.ucsc.edu/cghub/data/analysis/download/10f07e04-30a5-4741-820b-802a95851df2,RH-30
31,2,543c05be-bc28-47d8-8e7d-0e15912f5183,G27527.RERF-LC-AI.2.bam,16527616607,https://cghub.ucsc.edu/cghub/data/analysis/download/543c05be-bc28-47d8-8e7d-0e15912f5183,RERF-LC-AI
32,2,93c36534-c337-4b8d-ad3f-51378e8d5f45,G27237.SCLC-21H.1.bam,14494167542,https://cghub.ucsc.edu/cghub/data/analysis/download/93c36534-c337-4b8d-ad3f-51378e8d5f45,SCLC-21H
33,2,3a2c6380-bc21-4c11-91be-2f81af8721e7,G27480.SCC-15.2.bam,17907379583,https://cghub.ucsc.edu/cghub/data/analysis/download/3a2c6380-bc21-4c11-91be-2f81af8721e7,SCC-15
34,2,ae8cd1b2-af11-4ca4-9bd0-e01feb15b9b2,G27536.RS-5.2.bam,18553790979,https://cghub.ucsc.edu/cghub/data/analysis/download/ae8cd1b2-af11-4ca4-9bd0-e01feb15b9b2,RS-5
35,2,1340ffd9-0935-4322-b5cc-a99d295c4ee9,G27499.RCH-ACV.2.bam,21230147621,https://cghub.ucsc.edu/cghub/data/analysis/download/1340ffd9-0935-4322-b5cc-a99d295c4ee9,RCH-ACV
36,2,ea1c4717-d804-4ddc-a8d4-33a858eaadb1,G27261.PLC_PRF_5.1.bam,14085260499,https://cghub.ucsc.edu/cghub/data/analysis/download/ea1c4717-d804-4ddc-a8d4-33a858eaadb1,PLC_PRF_5
37,2,ab5ab856-3937-4d31-bd83-4af7707879c7,G27485.PF-382.2.bam,16442909470,https://cghub.ucsc.edu/cghub/data/analysis/download/ab5ab856-3937-4d31-bd83-4af7707879c7,PF-382
